title,ctr,retention_rate
Секрет который скрывают тимлиды,25.0,22.0
Почему продакшн упал в пятницу вечером,24.0,21.0
Как я неделю не мыл кружку и выгорел,23.0,25.0
Как я спал по 4 часа и ничего не понял,22.5,28.0
Что будет если удалить папку lib,22.0,29.0
Как я задолжал ревьюеру 1000 строк кода,21.0,35.0
Я закоммитил пароль на гитхаб,20.5,32.0
Как я фиксил баг три дня и нашёл лишнюю запятую,19.5,34.0
Купил джуну макбук и он уволился,19.0,38.0
Я бросил IT и стал фермером,18.2,35.0
Проснулся в 5 утра и закрыл спринт,17.0,36.0
